moment,duration,age,race,gender,reflection,id,concepts,Confidence
Feel happy all the time,Half a day,55-64 years old,Chinese,Male,24 h,6763,Family,0.534
second moment| eating out with family,At least one hour,18-24 years old,Chinese,Male,24 h,6764,Food|Family,0.82|0.772
I received a package or my item that I ordered online & it's a fashionable item!,A few minutes,18-24 years old,Chinese,Female,24 h,6765,Career,0.585
I had enough sleep today,Half a day,65+ years old,Chinese,Female,24 h,6766,Family,0.659
I got a good cash back for using my credit card to pay for my wife�s purchase of shorts which she had long been looking for.,At least one hour,65+ years old,Chinese,Male,24 h,6767,Career,0.516
I managed to complete a job that I put off for quite some time.,I'm still feeling it,65+ years old,Indian,Female,24 h,6768,,
Able to attend the exercise session as planned,At least one hour,55-64 years old,Chinese,Female,24 h,6769,Exercise,0.552
I wished it were weekend,A few minutes,45-54 years old,Chinese,Male,24 h,6770,,
It happened when I decided to text my close friend and tell her about my obervations of her.,A few minutes,45-54 years old,Chinese,Female,24 h,6771,Family,0.739
another moment was smooth workflow that was undistruptive,Half a day,45-54 years old,Chinese,Male,24 h,6772,,
Ate a cheesecake from famous D9 cakery,At least one hour,55-64 years old,Chinese,Female,24 h,6773,Food,0.738
Another moment is my excitement of getting my second vaccination this morning.,All day,45-54 years old,Chinese,Female,24 h,6774,,
this is just a test case,All day,35-44 years old,Chinese,Male,24 h,6775,Education,0.703
I am healthy and strong,At least one hour,55-64 years old,Chinese,Female,24 h,6776,Food,0.532
Bought 2 new indoor plants on sunday. Was happy that the plants seemed to be settling down,At least one hour,65+ years old,Chinese,Male,24 h,6777,Food,0.584
my son says he loves me,I'm still feeling it,35-44 years old,Indian,Female,24 h,6778,Family,0.802
when i am finally knocking off work and resting at home,At least one hour,25-34 years old,Chinese,Female,24 h,6779,Family,0.657
Meeting up with my boyfriend for lunch.,At least one hour,18-24 years old,Chinese,Female,24 h,6780,Food|Family,0.535|0.506
When I was meeting someone for lunch and had a good talk,At least one hour,35-44 years old,Chinese,Female,24 h,6781,Food,0.503
Another happy moment is when I talked to my boyfriend and he is very supportive in what I do.,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6782,,
household chores are completed,Half a day,65+ years old,Chinese,Female,24 h,6783,Family,0.853
"My younger child was doing very well is his SA examination, which he told me that all question in the paper was easy and able to score high point",Half a day,35-44 years old,Chinese,Male,24 h,6784,Education|Family,0.708|0.659
Sex was great,At least one hour,25-34 years old,Chinese,Male,24 h,6785,,
Having lunch at a restaurant with my parents.,At least one hour,35-44 years old,Chinese,Female,24 h,6786,Food|Family,0.822|0.64
The 2nd happy moment was last weekend when we celebrated Mother's day with my children.  We had a memorable meal and interaction. My grandchildren gave my wife a greeting card which was drawn and written by them,I'm still feeling it,65+ years old,Chinese,Male,24 h,6787,Family,0.853
Another happy moment in the past 24 hours was when I got to cook my favorite food and shared it with my children. They enjoyed it.,All day,35-44 years old,Chinese,Male,24 h,6788,Food,0.849
eat my lunch,A few minutes,25-34 years old,Chinese,Male,24 h,6789,Food|Family,0.73|0.54
Another happy moment was when my smartphone got recharged up by a colleague,Half a day,25-34 years old,Malay,Male,24 h,6790,,
Eating with my cousins,A few minutes,18-24 years old,Chinese,Female,24 h,6791,Food|Family,0.872|0.692
Was looking forward to the next few episodes of a drama on YouTube. Found it when I googled. Made me feel good,A few minutes,55-64 years old,Chinese,Female,24 h,6792,,
"My mother was in a good mood, had a good afternoon nap, and my sister came home safely from work.",All day,55-64 years old,Chinese,Female,24 h,6793,Family,0.754
I managed to buy my favorite burger from a fast food restaurant.,A few minutes,25-34 years old,Malay,Male,24 h,6794,Food,0.764
I m able to get a good night sleep,A few minutes,35-44 years old,Chinese,Male,24 h,6795,,
Help others,Half a day,35-44 years old,Chinese,Male,24 h,6796,,
When my health is good,At least one hour,65+ years old,Chinese,Male,24 h,6797,Family,0.532
Another happy moment in the past 24 hours was when we walking in a park together,At least one hour,25-34 years old,Chinese,Male,24 h,6798,,
Well...I get some good news at the office,At least one hour,35-44 years old,Malay,Male,24 h,6799,Family,0.546
when my mom gave me a hug,A few minutes,25-34 years old,Chinese,Male,24 h,6800,Family,0.895
Finally finish my housework,A few minutes,35-44 years old,Chinese,Female,24 h,6801,Family,0.686
I finally managed to eat my breakfast.,A few minutes,35-44 years old,Chinese,Female,24 h,6802,Food|Family,0.763|0.584
I had a nice dessert.,A few minutes,55-64 years old,Chinese,Male,24 h,6803,Food|Family,0.742|0.534
Donate for a charity cause,I'm still feeling it,65+ years old,Chinese,Male,24 h,6804,Family,0.509
I managed to get a temporary job at my preferred location.,At least one hour,18-24 years old,Chinese,Female,24 h,6805,,
I saw my girlfriend smiling at me,At least one hour,25-34 years old,Chinese,Male,24 h,6806,Family,0.565
I was so lucky that I won a contest,A few minutes,55-64 years old,Chinese,Female,24 h,6807,,
I buy my favorite clothes,Half a day,35-44 years old,Malay,Female,24 h,6808,Family,0.56
"Another happy moment was celebrating mother day which surprised my mom with a gift and she cried and thanked me and hugged me, which made me kinda sad and happy at the same time.",I'm still feeling it,18-24 years old,Chinese,Male,24 h,6809,Family,0.681
I was sleeping,At least one hour,18-24 years old,Chinese,Male,24 h,6810,,
"My nephew who is as good as son will be getting married and due to Covid-19, will not have a big celebration.",I'm still feeling it,65+ years old,Chinese,Male,24 h,6811,Family,0.575
wife give me some home cook cookie to eat,A few minutes,55-64 years old,Chinese,Male,24 h,6812,Food|Family,0.809|0.737
salary credited,All day,25-34 years old,Indian,Male,24 h,6813,Career,0.594
"Second moment| During one of such eulogise, I felt like crying when the speaker said, my Dad supported him with cash when he bought his first car.",All day,35-44 years old,Malay,Male,24 h,6814,Family,0.737
I received a compliment,Half a day,35-44 years old,Chinese,Male,24 h,6815,Family,0.543
i am able to eat something that i want without sharing and any other interference,At least one hour,25-34 years old,Chinese,Male,24 h,6816,Food,0.675
I mge get mny fr my cpf,At least one hour,55-64 years old,Chinese,Female,24 h,6817,,
I made a decision to exercise regularly and have reduced some weight,At least one hour,55-64 years old,Other|,Male,24 h,6818,,
My other son went for a job interview.,I'm still feeling it,65+ years old,Indian,Male,24 h,6819,,
Virus number decreased,All day,65+ years old,Chinese,Male,24 h,6820,,
Another happy moment in the past 24 hours was when the things i bought online finally came!,All day,18-24 years old,Chinese,Female,24 h,6821,,
Happy Thankful for all things No sickness,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6822,Family,0.669
"My grandson wil meanwhile finish it 12th year next year before coming  back to do his NS.  The 2 years in NS will help him ""grow up hopefully.?",I'm still feeling it,65+ years old,Chinese,Female,24 h,6823,Family,0.656
we headed to a long walk after dinner,Half a day,35-44 years old,Chinese,Male,24 h,6824,Exercise,0.518
Watch something on tv,A few minutes,55-64 years old,Chinese,Male,24 h,6825,Entertainment,0.507
Another happy moment in the past 24 hours was when I was lying in bed after a long day outside.,At least one hour,18-24 years old,Chinese,Female,24 h,6826,Entertainment,0.516
Met my long lost friend,A few minutes,35-44 years old,Chinese,Male,24 h,6827,Family,0.637
when i lost 5pounds,Half a day,35-44 years old,Malay,Male,24 h,6828,,
the time we travel to Taiwan,At least one hour,55-64 years old,Chinese,Male,24 h,6829,,
For building my new car,All day,25-34 years old,Chinese,Male,24 h,6830,,
"Someone told me ""He love the personality I am"".",I'm still feeling it,35-44 years old,Chinese,Male,24 h,6831,Family,0.609
Another happy moment in the past 24 hours was when i see my fav celebrity video at youtube.,Half a day,25-34 years old,Chinese,Male,24 h,6832,Entertainment,0.58
bring my daughter to have ice cream together after school. it is delicious.,At least one hour,35-44 years old,Chinese,Male,24 h,6833,Food|Family,0.649|0.606
None nothing more,A few minutes,35-44 years old,Chinese,Female,24 h,6834,,
When my kids are doing well at school,A few minutes,35-44 years old,Chinese,Male,24 h,6835,Family,0.901
"Another happy moment in the past 24 hours was when I was travelling to work, an I found a a wild cat taking care of its kitten.",A few minutes,35-44 years old,Chinese,Male,24 h,6836,,
Another happy moment was when I managed to get a free bluetooth keyboard.,A few minutes,35-44 years old,Chinese,Male,24 h,6837,,
Hoping to strike lottery,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6838,Career,0.554
When my children shout I love you mom,At least one hour,35-44 years old,Malay,Female,24 h,6839,Family,0.931
Am very happy recently with the members of my family n I enjoy it.,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6840,Family,0.783
I am happy with the purchase of cod fish bought online. Good quality and efficient delivery service.,A few minutes,55-64 years old,Chinese,Female,24 h,6841,,
my husband did something sweet and thoughtful for me,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6842,Family,0.872
"Last night dinner is fun, with interesting conversation.While to ate our delicious meal , which was a great time together",At least one hour,35-44 years old,Chinese,Male,24 h,6843,Food|Family,0.776|0.519
"I love to eat, so when my sister brought back my favourite food, I was really happy because it shows that she cares and loves me.",All day,18-24 years old,Chinese,Female,24 h,6844,Family|Food,0.791|0.759
I was sleeping,At least one hour,35-44 years old,Chinese,Male,24 h,6845,,
My co-worker complimented me on a job well done.,Half a day,55-64 years old,Chinese,Female,24 h,6846,Family,0.803
another happy moment was yesterday when i was having dinner with my hubby,Half a day,35-44 years old,Chinese,Female,24 h,6847,Food,0.513
I felt happy this morning when I watched the news and saw the huge work government is doing in ensuring that rate of transmission of covid19 is kept at zero or minimal level.,At least one hour,25-34 years old,Chinese,Male,24 h,6848,Career,0.513
"During this pandemic, still heard from closed ones, who had been promoted, salary increased, and most importantly, most still have jobs!",All day,65+ years old,Chinese,Female,24 h,6849,,
Got a call from an old friend,At least one hour,35-44 years old,Malay,Male,24 h,6850,Family,0.712
I was free from the people I hate,I'm still feeling it,25-34 years old,Chinese,Male,24 h,6851,,
Hope that covid-19 will soon be eradicated because of available vaccines,I'm still feeling it,25-34 years old,Malay,Male,24 h,6852,,
When I finish the work that my boss ask of me.,At least one hour,55-64 years old,Chinese,Female,24 h,6853,Family,0.512
Another happy moment in the past 24 hours was when I was able to complete a tough meeting,A few minutes,25-34 years old,Chinese,Female,24 h,6854,,
Have a good meal with colleagues with jokes,Half a day,55-64 years old,Chinese,Female,24 h,6855,Food,0.691
Enjoying a good lunch with colleagues,A few minutes,55-64 years old,Chinese,Male,24 h,6856,,
"Another happy moment in the past 24 hours was when I received an art that I've commissioned, I was mostly surprised and happy about it.",All day,18-24 years old,Chinese,Male,24 h,6857,Entertainment,0.538
Good work with the same time,Half a day,25-34 years old,Chinese,Female,24 h,6858,,
Able to wake up at any time i want,Half a day,35-44 years old,Chinese,Female,24 h,6859,,
I receive a compliment,All day,35-44 years old,Chinese,Male,24 h,6860,Family,0.549
I am going to supermarket,A few minutes,35-44 years old,Malay,Male,24 h,6861,Food,0.565
Another happy moment in the past 24 hours was when I was able to talk to a friend that I did not have the chance to talk to for a long time.,A few minutes,18-24 years old,Other|,Male,24 h,6862,,
When my dad call on the phone,Half a day,35-44 years old,Malay,Male,24 h,6863,Family,0.823
This morning when I watch TV Programme,A few minutes,35-44 years old,Chinese,Female,24 h,6864,Entertainment,0.583
Another happy moment in the past 24 hours was none,A few minutes,25-34 years old,Chinese,Female,24 h,6865,Entertainment,0.558
When I watched a movie that was really interesting,At least one hour,35-44 years old,Chinese,Female,24 h,6866,,
Opps. 2nd moment was when I have my �me� time,At least one hour,18-24 years old,Chinese,Female,24 h,6867,,
My yummy dinner and feeling grateful,At least one hour,25-34 years old,Chinese,Male,24 h,6868,Food|Family,0.755|0.631
I cooked and ate beef udon for lunch and it was delicious,A few minutes,18-24 years old,Chinese,Female,24 h,6869,Food,0.907
When I was ae to wake up,I'm still feeling it,25-34 years old,Malay,Male,24 h,6870,,
I ate my favorite Singapore meal.,At least one hour,35-44 years old,Malay,Male,24 h,6871,Food,0.777
Celebrating Mother�s Day. Eating good food.,Half a day,18-24 years old,Chinese,Female,24 h,6872,Food|Family,0.679|0.533
I received an email saying that I�ve won a $20 voucher for a survey I completed a couple of months ago.,A few minutes,25-34 years old,Other|,Female,24 h,6873,Career,0.781
To see my spouse after a hard day's work and feel blessed to have a supportive spouse.,A few minutes,35-44 years old,Chinese,Female,24 h,6874,Family,0.811
To hear my colleague's mum has passed the critical stage,A few minutes,65+ years old,Chinese,Female,24 h,6875,Family,0.71
Another happy moment was when I received my second bachelor's degree.,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6876,Education,0.672
I managed to get home earlier than expected,A few minutes,18-24 years old,Chinese,Male,24 h,6877,,
watching movie with my family,At least one hour,25-34 years old,Chinese,Male,24 h,6878,Family,0.689
Getting a promotion,Half a day,35-44 years old,Malay,Male,24 h,6879,Exercise,0.524
Another happy moment in the past 24 hours was when I take a shower with music I love,A few minutes,25-34 years old,Chinese,Male,24 h,6880,Entertainment|Romance,0.662|0.551
Another happy moment in the past 24 hours was when I play with my child at night,A few minutes,25-34 years old,Chinese,Male,24 h,6881,Entertainment,0.681
My salary got increased,Half a day,35-44 years old,Indian,Male,24 h,6882,Family,0.576
When I see my investment appreciation,Half a day,35-44 years old,Chinese,Male,24 h,6883,Career,0.564
I ate nice food that my mom brought back,A few minutes,25-34 years old,Chinese,Female,24 h,6884,Food|Family,0.869|0.824
Another moment when I was happy was that my spouse bought me food that I really liked,At least one hour,25-34 years old,Chinese,Female,24 h,6885,Food,0.755
Don�t have any.,A few minutes,65+ years old,Chinese,Female,24 h,6886,,
I finished my days activities,At least one hour,25-34 years old,Malay,Female,24 h,6887,Family,0.575
Eating dinner,At least one hour,25-34 years old,Chinese,Female,24 h,6888,Food,0.8
Another happy moment in the past 24 hours was when I have done my errands without procrastination.,At least one hour,25-34 years old,Chinese,Male,24 h,6889,Entertainment,0.554
Actually I just get happy when people I care about message me so yep when I got texted by my close friends!,Half a day,18-24 years old,Chinese,Female,24 h,6890,Family,0.503
Showered and washed my hair.,At least one hour,18-24 years old,Chinese,Female,24 h,6891,,
I am having my dinner,At least one hour,35-44 years old,Chinese,Male,24 h,6892,Food,0.826
I finished cleaning the house. The feeling of satisfaction of  a clean house.,At least one hour,25-34 years old,Chinese,Male,24 h,6893,Family,0.658
i had a good run outdoor with a great timing to boot.,At least one hour,35-44 years old,Chinese,Male,24 h,6894,,
Another happy moment in the past 24 hours was when I have a good meal,A few minutes,25-34 years old,Chinese,Male,24 h,6895,Food,0.754
Getting a job,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6896,Exercise,0.576
My close friends wanted to arrange a group video chat later this week,A few minutes,25-34 years old,Chinese,Female,24 h,6897,Family,0.617
I felt happy in the past 24 hours when I received a bouquet.,At least one hour,25-34 years old,Chinese,Female,24 h,6898,,
Another happy moment in the past 24 hours was when I come home,A few minutes,25-34 years old,Chinese,Male,24 h,6899,Entertainment,0.578
Is thet people dont have to pretend,Half a day,35-44 years old,Indian,Male,24 h,6900,,
"My meeting went well, my proposal accepted",At least one hour,35-44 years old,Chinese,Female,24 h,6901,Family,0.576
I exercised and worked out after eating,At least one hour,18-24 years old,Chinese,Female,24 h,6902,Food,0.624
I watched a livestream with my favourite music artist.,I'm still feeling it,18-24 years old,Other|,Female,24 h,6903,,
another happy moment was when i got to go home early,At least one hour,25-34 years old,Chinese,Male,24 h,6904,,
Cracking jokes in whatsapp message,At least one hour,35-44 years old,Indian,Female,24 h,6905,Family,0.613
i am able to get in bed earlier than other days,At least one hour,25-34 years old,Chinese,Male,24 h,6906,Family,0.503
Happy for yesterday i got my new Samsung phone,Half a day,35-44 years old,Chinese,Male,24 h,6907,Family,0.548
another happy moment in the past 24 hours was when i had a delicious chicken pie.,A few minutes,25-34 years old,Chinese,Prefer not to say,24 h,6908,Food,0.811
My friend called me not so long ago and commented that I look so young for my age. That really made my day!,I'm still feeling it,65+ years old,Chinese,Female,24 h,6909,Family,0.822
i have fun doing my job teaching children english,At least one hour,25-34 years old,Chinese,Female,24 h,6910,,
when receive money from other people,Half a day,25-34 years old,Malay,Female,24 h,6911,Career,0.752
I had my dinner,At least one hour,25-34 years old,Chinese,Male,24 h,6912,Food,0.787
"just 34 hours ago, i was compensated for my damaged car.",Half a day,35-44 years old,Chinese,Female,24 h,6913,Career,0.638
dont have anyy,Half a day,18-24 years old,Chinese,Female,24 h,6914,,
I opened a domiciliary account successfully.,All day,35-44 years old,Malay,Male,24 h,6915,Career,0.768
House Renovation is going to underway,I'm still feeling it,35-44 years old,Chinese,Male,24 h,6916,Family,0.791
"surprizing my mom, give some gift",All day,25-34 years old,Other|,Male,24 h,6917,Family,0.842
I had an enjoyable dinner with my friends.,A few minutes,18-24 years old,Chinese,Female,24 h,6918,Food,0.619
Another of my happy moment is when I graduated from University and achieve my University degree.,I'm still feeling it,25-34 years old,Malay,Male,24 h,6919,Education,0.834
I ran for the bus and the bus stopped for me so I don't miss it.,A few minutes,18-24 years old,Malay,Female,24 h,6920,,
Seeing my mother,All day,35-44 years old,Chinese,Male,24 h,6921,Family,0.857
Ate mentaiko fries because I wanted to eat it for a really really long time,I'm still feeling it,18-24 years old,Chinese,Female,24 h,6922,Food,0.866
Enjoying my lunch,A few minutes,35-44 years old,Chinese,Male,24 h,6923,Food,0.595
"I set myself a target to complete an exercise regime based on frequency, timing and no. of sets and I was able to achieve it",At least one hour,65+ years old,Chinese,Male,24 h,6924,,
My daughter passed me her salary,A few minutes,65+ years old,Chinese,Female,24 h,6925,Family,0.718
My next happy moment was when I made my coffee for breakfast,At least one hour,25-34 years old,Chinese,Male,24 h,6926,Food|Family,0.591|0.503
Thinking about my family. We have a wonderful dinner to celebrate post mother's day celebration.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6927,Family|Food,0.754|0.611
I received a notification that I will received $800 this 15th May from the SSO that I applied last month.,I'm still feeling it,25-34 years old,Other|,Female,24 h,6928,Career,0.729
Having homemade pasta,A few minutes,35-44 years old,Chinese,Male,24 h,6929,Food,0.775
i called up one of my customers and he responded positively,A few minutes,35-44 years old,Chinese,Female,24 h,6930,Career,0.553
my mother's health is getting stable,A few minutes,35-44 years old,Chinese,Male,24 h,6931,Family,0.728
i completed the work day without any issues,A few minutes,35-44 years old,Chinese,Male,24 h,6932,,
The day i met my girlfriend,I'm still feeling it,18-24 years old,Chinese,Male,24 h,6933,Family,0.785
Being able to translate a japanese tweet by myself without the use of google translate,A few minutes,18-24 years old,Chinese,Non-binary / third gender,24 h,6934,,
Getting my first employment,All day,35-44 years old,Indian,Female,24 h,6935,,
Nothing. I was very busy once again. And I have to work,A few minutes,35-44 years old,Chinese,Male,24 h,6936,,
Another moment is when i was able to eat at my favourite restaurant,At least one hour,18-24 years old,Indian,Female,24 h,6937,Food,0.739
a fried sent me a large amount of money.,I'm still feeling it,35-44 years old,Chinese,Female,24 h,6938,Food,0.543
"Completion of a tedious research work, as mentioned previously by mistake",A few minutes,18-24 years old,Chinese,Male,24 h,6939,,
Able to have own space to watch my favourite shows,At least one hour,35-44 years old,Chinese,Female,24 h,6940,,
A good sushi meal,Half a day,65+ years old,Chinese,Female,24 h,6941,Food,0.799
at the workplace,All day,65+ years old,Chinese,Male,24 h,6942,Family,0.607
another happy moment in the past 24 hours was when i helped my mother to clean the kitchen and we did a good job with it,I'm still feeling it,18-24 years old,Malay,Female,24 h,6943,Food|Family,0.54|0.524
Nothing in particular,A few minutes,18-24 years old,Malay,Female,24 h,6944,,
My grandchildren insisted I play indoor games with them,Half a day,65+ years old,Indian,Male,24 h,6945,Family|Conversation,0.879|0.526
Another happy moment in the past 24 hours was when my team leader complimented me on my project ideas.,At least one hour,18-24 years old,Malay,Female,24 h,6946,Entertainment,0.504
Catching up with some friends,At least one hour,18-24 years old,Chinese,Female,24 h,6947,Family,0.637
Another happy moment in the past 24 hours was when I talked to my online friends.,At least one hour,18-24 years old,Chinese,Female,24 h,6948,Conversation|Entertainment,0.528|0.523
I get to eat nice and affordable food.,All day,18-24 years old,Chinese,Female,24 h,6949,Food,0.861
sleeping for a long hours,Half a day,18-24 years old,Chinese,Female,24 h,6950,Exercise,0.511
Another happy moment in the past 24 hours was when I got to play some childhood toys and reminisce with my family while cleaning the house,At least one hour,18-24 years old,Malay,Non-binary / third gender,24 h,6951,Family|Entertainment,0.629|0.546
My granddaughter gave a intelligent answer to my question.,All day,65+ years old,Chinese,Female,24 h,6952,Family,0.876
The soup I made for dinner turned out well!,At least one hour,25-34 years old,Chinese,Female,24 h,6953,Food|Family,0.78|0.547
Finish paying for our house mortgage,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6954,Family,0.529
Another happy moment in the past 24 hours was when I got confirmed orders.,Half a day,25-34 years old,Malay,Female,24 h,6955,,
Good feeling,Half a day,45-54 years old,Chinese,Female,24 h,6956,Family,0.527
i was able to get the reward i wanted for playing a game,A few minutes,55-64 years old,Chinese,Male,24 h,6957,Career,0.535
I managed to have home cooked food by my mum,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6958,Food|Family,0.848|0.671
I help other people,All day,35-44 years old,Chinese,Female,24 h,6959,Family,0.509
When I found some drama for my partner.,All day,65+ years old,Chinese,Male,24 h,6960,Family,0.529
"Second moment| ""Another happy moment in the past 24 hours was when I had lunch with my roommate.",At least one hour,18-24 years old,Chinese,Male,24 h,6961,Food,0.65
having sex,All day,25-34 years old,Chinese,Female,24 h,6962,,
another happy moment in the past 24 hours was when i watched an awesome documentary show with my wife.,At least one hour,45-54 years old,Chinese,Male,24 h,6963,Entertainment,0.737
I have confirmed one potential candidate who is willing to join the company which I am helping to do the recruitment.,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6964,Career,0.508
my daughter gave me the monthly monetary support to family expenses,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6965,Family,0.877
Celebrating HARI raya,I'm still feeling it,55-64 years old,Malay,Male,24 h,6966,Family,0.583
When my son found a new job.,All day,65+ years old,Indian,Male,24 h,6967,Family,0.629
My colleague recommended a new drama which is quite interesting,A few minutes,35-44 years old,Chinese,Female,24 h,6968,,
"indulge in my hobby, playing my GuZheng",All day,65+ years old,Chinese,Female,24 h,6969,,
another happy moment in the past 24 hors was when i did my yoga exercise while freeing my mind,At least one hour,45-54 years old,Chinese,Female,24 h,6970,,
Having an enjoyable time practicing Taiji with my friends,At least one hour,65+ years old,Chinese,Female,24 h,6971,,
I was happy about how successful I'm becoming each day,Half a day,25-34 years old,Malay,Male,24 h,6972,Family,0.553
I made extra money in stock market,All day,35-44 years old,Chinese,Male,24 h,6973,Career,0.748
i eat my favorite meal.,All day,35-44 years old,Chinese,Female,24 h,6974,Food,0.871
Having a good fudge chocolatey brownie,A few minutes,35-44 years old,Malay,Female,24 h,6975,Food,0.651
My 80 yr old mom finished her meal,A few minutes,55-64 years old,Chinese,Female,24 h,6976,Family|Food,0.852|0.672
Having conversation with my children.,At least one hour,45-54 years old,Indian,Female,24 h,6977,Family,0.645
Another happy moment in the past 24 hours was when I was able to sleep past 8 amand had uninterrupted sleep for 10 hours.,A few minutes,35-44 years old,Chinese,Female,24 h,6978,Entertainment,0.582
A friend called to collect some freebies from a shop on promotion,A few minutes,65+ years old,Chinese,Male,24 h,6979,Family,0.632
I goodnight kissed my husband.,A few minutes,35-44 years old,Chinese,Female,24 h,6980,Family,0.741
i whatsapp chatted with a friend,At least one hour,35-44 years old,Chinese,Female,24 h,6981,,
When I received an email asking if I can provide my company's services to one client.,At least one hour,65+ years old,Chinese,Male,24 h,6982,Career,0.679
I made a decision to stay at home and it rained almost immediately after,A few minutes,65+ years old,Chinese,Male,24 h,6983,,
My granddaughter fully recovered,At least one hour,65+ years old,Indian,Male,24 h,6984,Family,0.8
"Another happy moment in the past 24 hours was when I was sharing the wished for events that had happened to my family, relatives and friends.",A few minutes,65+ years old,Chinese,Male,24 h,6985,Food,0.504
Family gather,All day,65+ years old,Chinese,Male,24 h,6986,Family,0.889
I was very happy that our country will be going from Phase 2 to 1 last month.  We were going to open up and the economy will be better.,At least one hour,65+ years old,Chinese,Female,24 h,6987,,
Another happy moment in the past 24 hours was when I prepared traditional meal and all family members enjoyed the meal.,I'm still feeling it,65+ years old,Malay,Female,24 h,6988,Food,0.916
A sudden downpour that cools the weather.,At least one hour,65+ years old,Chinese,Male,24 h,6989,,
Another happy moment in the past 24 hours was when I am watching TV,I'm still feeling it,65+ years old,Chinese,Female,24 h,6990,Entertainment,0.811
SEE MY WIFE!~,All day,65+ years old,Chinese,Male,24 h,6991,,
I eating out for dinner,At least one hour,65+ years old,Chinese,Female,24 h,6992,Food,0.852
Relaxing and watching dramas after dinner.,I'm still feeling it,65+ years old,Chinese,Female,24 h,6993,,
enjoying nice and delicious food.,A few minutes,65+ years old,Chinese,Male,24 h,6994,Food,0.722
I feel so refreshing after a good rest,I'm still feeling it,65+ years old,Chinese,Male,24 h,6995,Family,0.509
My friend was having a wedding,All day,65+ years old,Chinese,Female,24 h,6996,Family,0.586
I cook my own meal and choose the ingredients i like to eat.,A few minutes,65+ years old,Chinese,Female,24 h,6997,Food,0.913
Another happy moment in the past 24 hours was when we were preparing dinner.,I'm still feeling it,65+ years old,Malay,Female,24 h,6998,Food,0.824
When we went for swimming,At least one hour,65+ years old,Chinese,Female,24 h,6999,,
I had a good night's sleep and woke up feeling energetic,At least one hour,65+ years old,Chinese,Male,24 h,7000,,
I came across a clip on the US china relations.,A few minutes,65+ years old,Chinese,Male,24 h,7001,Family,0.509
My kid got a new job.,Half a day,65+ years old,Chinese,Female,24 h,7002,Family,0.759
When I met my chemistry teacher online,At least one hour,65+ years old,Chinese,Female,24 h,7003,Family|Education,0.646|0.506
when i having my delicious dinner,At least one hour,65+ years old,Chinese,Female,24 h,7004,Food,0.776
The day I did well for a test,Half a day,35-44 years old,Chinese,Male,24 h,7005,Education|Family,0.855|0.819
When I received an offer for buying groceries online,At least one hour,65+ years old,Chinese,Female,24 h,7006,Career,0.577
My grandchildren ask their mom to call me and wanted to talk to me. I think they missed me.,At least one hour,55-64 years old,Chinese,Female,24 h,7007,Family,0.863
I ate a delicious persimmon,A few minutes,45-54 years old,Chinese,Female,24 h,7008,Food,0.767
my daughter is very caring nowadays.. she have grown up and more sensiable,A few minutes,25-34 years old,Chinese,Female,24 h,7009,Family,0.83
Another happy moment in the past 24 hours was talking to new people on social media who have similar interest as me.,At least one hour,25-34 years old,Chinese,Female,24 h,7010,Conversation|Entertainment,0.519|0.501
Going grocery shopping with mum,At least one hour,25-34 years old,Chinese,Female,24 h,7011,Family|Exercise,0.652|0.574
Another happy moment in the past 24 hours was when I had a favourite snack,A few minutes,35-44 years old,Indian,Female,24 h,7012,Food,0.796
Another happy moment in the past 24 hours was when I was on a date,Half a day,35-44 years old,Chinese,Female,24 h,7013,,
As a family singing and worshipping together,At least one hour,45-54 years old,Chinese,Female,24 h,7014,Family|Food,0.871|0.621
I had friends over for a gaming session,All day,55-64 years old,Malay,Female,24 h,7015,Family,0.807
My new plants are flowering.,All day,45-54 years old,Chinese,Female,24 h,7016,Family,0.546
Enjoying my pizza at home,A few minutes,45-54 years old,Chinese,Female,24 h,7017,Food,0.609
