moment,duration,age,race,gender,reflection
Mother's Day was another happy occasion though I was not well everyone made an effort to keep me happy. ,Half a day,65+ years old,Indian,Female,3m
"on 1st April my wish account was hack by some one in Russia to place an order of the SSD hard drive, I put in many efforts to communicate with the support agent and my bank to resolve this issue by refund back to me, I waited for three weeks and finally get back the full amount.",Half a day,55-64 years old,Chinese,Male,3m
When my son got into commando and my daughter got the job she wanted,I'm still feeling it,45-54 years old,Chinese,Female,3m
Managed to make my favorite half boiled eggs perfectly,A few minutes,45-54 years old,Chinese,Male,3m
I strive 4D second prize .,At least one hour,45-54 years old,Chinese,Male,3m
I meet my old friends from work,At least one hour,65+ years old,Chinese,Female,3m
another happy moment was when my 2nd daughter gave birth to twins last month.,I'm still feeling it,65+ years old,Chinese,Male,3m
Another happy moment was when we celebrated my birthday with the children and grandson together.,I'm still feeling it,65+ years old,Chinese,Male,3m
I get to speak to our children who are not in Singapore ,All day,55-64 years old,Chinese,Female,3m
My spouse was elated at the Valentines gift for her.,At least one hour,65+ years old,Indian,Male,3m
Recently my father gifted me a new phone,Half a day,35-44 years old,Chinese,Male,3m
Family members meet for dinner. ,Half a day,65+ years old,Chinese,Male,3m
When I met 2 friends for dinner and we hadnt met for over a year.,Half a day,55-64 years old,Chinese,Female,3m
 I completed my annual health screening and had overall positive results on my health and wellbeing,I'm still feeling it,65+ years old,Indian,Female,3m
Collect red packets during cny,A few minutes,45-54 years old,Chinese,Male,3m
Another happy moment in the past three months was when one of my colleague called me during Labour May when I did not attend the meeting which fell on the previous Monday,All day,25-34 years old,Chinese,Female,3m
My children's birthday recently.,A few minutes,45-54 years old,Indian,Male,3m
cool i intimied  with a beautful girl,I'm still feeling it,45-54 years old,Chinese,Male,3m
Healthy parents,I'm still feeling it,45-54 years old,Chinese,Female,3m
I rejected peer pressure and did not attend a social gathering I didn't want to go ,I'm still feeling it,18-24 years old,Chinese,Male,3m
"Yesterday, my son bought a box of pastry for me. He said it was for Mother's day. I had thought he only has time for his new girlfriend and has forgotten all about me.",At least one hour,55-64 years old,Chinese,Female,3m
My lucky plant had a flower that is rare to see,I'm still feeling it,55-64 years old,Chinese,Female,3m
I cycled to mandai by myself after procrastinating on doing it for years,A few minutes,25-34 years old,Chinese,Male,3m
Another happy moment was when I completed my competency at my job,All day,18-24 years old,Chinese,Male,3m
When I knew how to bake a cake,At least one hour,35-44 years old,Malay,Female,3m
Another happy moment in the past 3 months was when I was chosen for the highest difficulty level for a project over this summer break.,I'm still feeling it,18-24 years old,Chinese,Male,3m
I coached interns in their work and shared life experiences,I'm still feeling it,45-54 years old,Chinese,Male,3m
Able to hit my target for monthly sales.,All day,45-54 years old,Chinese,Male,3m
I took a short break before changing jobs and spent time with family at a staycation. ,All day,25-34 years old,Chinese,Female,3m
I was able find my long list item,Half a day,45-54 years old,Chinese,Male,3m
I was able to indulge in my favourite hobby-reading.,I'm still feeling it,55-64 years old,Indian,Female,3m
"Just last week, I had a fun game of badminton with my 9  year old nephew. It was fun to compete and to try to ""beat"" each other. ",At least one hour,45-54 years old,Chinese,Female,3m
Riding the mobility scooter.,Half a day,55-64 years old,Indian,Male,3m
when someone told me he loved me,All day,18-24 years old,Chinese,Female,3m
My manger finally realised that i am not the troublemaker but i am someone that can actually do my work. ,I'm still feeling it,25-34 years old,Chinese,Male,3m
Found and started to work part time job (5 - 6 hours) a day for 3 - 4 times a week.,I'm still feeling it,55-64 years old,Chinese,Female,3m
I got to photograph a cute baby wild boar.,All day,45-54 years old,Chinese,Male,3m
The family made me breakfast (a meal which I am normally in-charge of).,All day,45-54 years old,Chinese,Female,3m
"Another happy moment in the past 3 months was when I won a bet.
 ",All day,25-34 years old,Chinese,Female,3m
"I was admitted to the hospital for a sprained ankle. My army friends came to visit me even during this pandemic. The friendship we built during those army days was not lost, and this had made my day.",All day,45-54 years old,Chinese,Male,3m
I manage to complete my work reports for submission,At least one hour,55-64 years old,Chinese,Male,3m
2nd I manage to get a good you tube channel with insightful discourse that is awakening.,I'm still feeling it,55-64 years old,Indian,Male,3m
Able to take my protein muscle recovery shake to recover my muscles.,I'm still feeling it,25-34 years old,Indian,Male,3m
I win money from poker,A few minutes,18-24 years old,Chinese,Male,3m
Had Breakfast with my brothers.,I'm still feeling it,55-64 years old,Chinese,Male,3m
 I have a good and nice dinner with family ,All day,55-64 years old,Chinese,Female,3m
I was able to settle one of my debts completely.,At least one hour,55-64 years old,Indian,Male,3m
no more no more no more,Other:,45-54 years old,Chinese,Male,3m
"When I went to the universal studio with my friends, we went to ride the roller costar and I was really afraid. But it turned out really fun, and I laughed a lot during the high speed rides.  ",At least one hour,18-24 years old,Chinese,Female,3m
i don't have first ofcouse no 2nd,A few minutes,45-54 years old,Chinese,Male,3m
I went for dinner with my boyfriend and we ate ramen. We talked a lot on the bus trip home and I really enjoy spending my time with him. ,Half a day,18-24 years old,Chinese,Female,3m
having a good heart to heart talk and quality time with offspring ,At least one hour,45-54 years old,Chinese,Female,3m
no comments,A few minutes,45-54 years old,Chinese,Male,3m
Another happy moment in the past 3 months was when i had lunch with my frienda.,Half a day,45-54 years old,Chinese,Female,3m
a happy moment is getting a prize,At least one hour,45-54 years old,Chinese,Female,3m
My daughter and son-in-law invited my wife and I to their house and cook a delicious meal for us ,I'm still feeling it,55-64 years old,Chinese,Male,3m
When I am able to achieve my set goals; like to X # of exercises per week.,Half a day,45-54 years old,Chinese,Male,3m
Another happy moment was when I brought my dogs to the beach and managed to capture videos of them playing in the sand and the sea,I'm still feeling it,18-24 years old,Chinese,Female,3m
The thought of having a family celebration and having done our duty as parents that the children complete their university education ,Half a day,55-64 years old,Chinese,Male,3m
Covid-19 situation seems to have improved tremendously in my home country and stabilised!,A few minutes,45-54 years old,Chinese,Male,3m
Second happy moment in the past 3 months was meeting old friends who have lost touch for more than 5 years ,I'm still feeling it,65+ years old,Chinese,Female,3m
i get to meet my friends for tea and chill on a weekday,Half a day,45-54 years old,Chinese,Female,3m
I had a great talk with one of my friend. Was able to pour out my feelings out and have someone understand. ,A few minutes,45-54 years old,Chinese,Male,3m
I saved up to buy an upgrade for one of my PC games and I got it.,A few minutes,25-34 years old,Other:,Male,3m
A bunch of people unexpectedly praised me for my singing talent in a music app,At least one hour,45-54 years old,Indian,Female,3m
I attended mass for the first time since the COVID lockdown.,I'm still feeling it,55-64 years old,Chinese,Female,3m
another happy moment was when i rejoined my football team ,All day,25-34 years old,Indian,Male,3m
Playing with my kids,All day,25-34 years old,Malay,Male,3m
Another happy moment in the past 3 months was when another wrist watch that I wanted to buy is also having good discount.,All day,35-44 years old,Chinese,Male,3m
"Another happy moment in the past 3 months was when one of my colleagues in the office was diagnosed with covid19, while the rest were tested and we did not get it.",I'm still feeling it,45-54 years old,Indian,Male,3m
"Whenever I get to play with my cat, as my cat is currently at my boyfriend's place. Playing with my cat really allows me to not care about anything else and it helps me to relax my mind, especially looking at any little action that it does can just make me really happy",Half a day,18-24 years old,Chinese,Female,3m
i see someone like my comment on social media.,I'm still feeling it,25-34 years old,Chinese,Female,3m
I received my 1st vaccination dose.,A few minutes,55-64 years old,Chinese,Male,3m
My parent laugh,Half a day,25-34 years old,Chinese,Female,3m
"Similarly, when meditating",At least one hour,65+ years old,Chinese,Male,3m
i planned to start my own business.,I'm still feeling it,65+ years old,Chinese,Male,3m
Another happy moment in the past 3 months was when I bonded with my wife when we used  our Discover Singapore coupons to visit The Garden By The Bay.,All day,65+ years old,Chinese,Male,3m
My mum AD is getting better.,I'm still feeling it,55-64 years old,Chinese,Female,3m
dsadsfdgfgd,All day,18-24 years old,Chinese,Male,3m
I went to the beach with my friends to kayak!,All day,18-24 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when I received variable bonus from my employer. It means hard work put in for the past one year.,A few minutes,25-34 years old,Chinese,Female,3m
I was able to work at home and was so good about it ,A few minutes,55-64 years old,Chinese,Female,3m
I had a meal with my wife.,At least one hour,65+ years old,Chinese,Male,3m
Happy Money I could remember again is when my salary was reversed back after it was reduced ,I'm still feeling it,35-44 years old,Chinese,Male,3m
when celebrating my 2nd child's birthday,All day,35-44 years old,Chinese,Female,3m
Mcdonalds announced that they are having a promotion for 1 for 1 sausage muffin with egg .,At least one hour,35-44 years old,Chinese,Female,3m
Another happy moment in the past 3 months is enjoying seafood with a close friend.,All day,25-34 years old,Chinese,Male,3m
Received salary ,A few minutes,35-44 years old,Chinese,Male,3m
"I have done all the housework today, now I can enjoy",Half a day,35-44 years old,Chinese,Male,3m
I got my year end bonus for the past 3 months.,Half a day,65+ years old,Chinese,Male,3m
My grand daughter recovered from her illness initially suspected to be covid infected ,All day,65+ years old,Chinese,Male,3m
I happy because i get promoted last month.,I'm still feeling it,25-34 years old,Chinese,Male,3m
Winning a game with my friend,At least one hour,25-34 years old,Chinese,Male,3m
Found a new job,All day,55-64 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when my spouse and i celebrated our anniversary together with our baby,Half a day,25-34 years old,Chinese,Female,3m
"Couple of weeks ago, when the item I've been trying to purchase finally have stock",Half a day,25-34 years old,Chinese,Male,3m
I enjoyed joking with my mother and making her laugh,A few minutes,35-44 years old,Chinese,Female,3m
Seeing my pet dog at home for the first time,A few minutes,25-34 years old,Chinese,Male,3m
thinking about my girlfriend,At least one hour,25-34 years old,Malay,Male,3m
i quit my job,I'm still feeling it,25-34 years old,Chinese,Female,3m
I got my salary bonus.,Half a day,25-34 years old,Chinese,Male,3m
Another happy moment is that I get to know my neigbours better during this Covid times and we get together for morning walk. ,Half a day,35-44 years old,Chinese,Female,3m
One happy moment in the past 3 months was when y hubby gave me a expensive present,I'm still feeling it,35-44 years old,Chinese,Female,3m
Going for staycation with my family,All day,35-44 years old,Chinese,Female,3m
I got selected for a second round of interview with a new prospective employer,Half a day,25-34 years old,Chinese,Female,3m
When I got an pay raise even though the current job market is not that good.,At least one hour,55-64 years old,Chinese,Female,3m
"also same, having lunch on friday with my sister",Half a day,35-44 years old,Chinese,Female,3m
Another happy moment was when I was able to sit for my final college degree exams. ,I'm still feeling it,35-44 years old,Malay,Female,3m
Another one was when my other daughter started school and described the first day as the best day of her life haha,I'm still feeling it,35-44 years old,Chinese,Female,3m
eating my fave food ,At least one hour,35-44 years old,Chinese,Female,3m
As per mentioned previously.,A few minutes,35-44 years old,Chinese,Male,3m
Another happy moment in the past three months was when i realised how thankful i am for my other half,I'm still feeling it,18-24 years old,Chinese,Female,3m
Salary increase  and move new house,All day,55-64 years old,Chinese,Male,3m
able to acheive what i started & complete my task,All day,65+ years old,Chinese,Male,3m
The other happy moment was that I am able to have more friends after going to the church,At least one hour,18-24 years old,Chinese,Male,3m
Another happy moment when I could solve a puzzle without any help. ,A few minutes,65+ years old,Chinese,Female,3m
The day I married my spouse.,At least one hour,25-34 years old,Chinese,Male,3m
Another happy moment in the past 3 months was when I got really lucky in a video game,Half a day,18-24 years old,Chinese,Male,3m
I just celebrated my 59th birthday with my spouse and children present. Quite an achievement for a kampong boy. ,I'm still feeling it,55-64 years old,Chinese,Male,3m
Another happy moment in the past 3 months was when my dad brought me seaweed snacks.,I'm still feeling it,18-24 years old,Chinese,Female,3m
Getting awards,Half a day,35-44 years old,Malay,Male,3m
completed house cleaning,I'm still feeling it,55-64 years old,Chinese,Male,3m
The day I married my spouse.,Half a day,35-44 years old,Malay,Female,3m
My son will get confirmation for marriage in the next three months,All day,35-44 years old,Chinese,Male,3m
When my family had a get together Mother's Day lunch at my daughter's house.,I'm still feeling it,65+ years old,Chinese,Female,3m
it was when i was able to join my friend in cycling session,All day,35-44 years old,Chinese,Male,3m
My son kissed me and told me ''Happy Mother's Day''.,Half a day,25-34 years old,Chinese,Female,3m
Staying healthy and avoiding covid virus is what makes me happy.,A few minutes,35-44 years old,Chinese,Female,3m
i do not have any hapoy moments. ,A few minutes,25-34 years old,Chinese,Female,3m
"My family have an weekend trip at the Night safari at Singapore Zoo.
The weather is good when we arrive and managed to board the tram ride with little crowd. We can see some animals close up in the wild. We also manage to complete our foot trail, after the tram ride, and manage to view more interesting closed up view of the animals before it rains. We took a second tram ride in the rain and still manage to see some animals wandering in the rain. Overall the trip is value for money and enjoyable.   ",Half a day,65+ years old,Chinese,Male,3m
I received a photo taken by the happy recipient with the new washing machine that I donated. I feel great that I could able to help. ,I'm still feeling it,55-64 years old,Chinese,Female,3m
knowing that i become a mom again,I'm still feeling it,25-34 years old,Other:,Female,3m
Cannot think of any ,Other:,35-44 years old,Chinese,Female,3m
Recognition of work,At least one hour,25-34 years old,Chinese,Female,3m
I got gift,At least one hour,35-44 years old,Chinese,Male,3m
Gegar and a couple more of the week and a few days ago I was so busy going on the phone with my phone at home today so ,Half a day,25-34 years old,Malay,Female,3m
"I just finished another project at the office, after a really long time. got appreciation from my fellow colleagues and even the manager. felt so happy becuase I spent suuuuuper long hours working for this",Half a day,25-34 years old,Chinese,Male,3m
Another happy moment in the past 3 months was when I got my paycheck bonus ,Half a day,35-44 years old,Malay,Male,3m
Smile my spouse,All day,35-44 years old,Malay,Male,3m
I managed to get a robot vacuum for a good price,I'm still feeling it,35-44 years old,Chinese,Male,3m
I am shifting to my new home,All day,35-44 years old,Chinese,Male,3m
we are allowed to go back office to meet with colleagues etc,Half a day,35-44 years old,Chinese,Male,3m
i was given bonus,A few minutes,35-44 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when I completed my exams. ,I'm still feeling it,18-24 years old,Chinese,Female,3m
My child learns to play slide by himself,A few minutes,25-34 years old,Chinese,Female,3m
2nd happy moment in the past 3 months was when...,At least one hour,25-34 years old,Chinese,Male,3m
When i got a pay raise,I'm still feeling it,25-34 years old,Chinese,Male,3m
I see my best friend getting married.,All day,35-44 years old,Chinese,Male,3m
i won a sports competition,I'm still feeling it,25-34 years old,Malay,Male,3m
another happy moment in the past 3 months was when im tried to make my business,I'm still feeling it,25-34 years old,Chinese,Male,3m
with family ,I'm still feeling it,35-44 years old,Indian,Male,3m
Another happy moment was when I received the email that my application to Sydney for college exchange program was successful.,All day,18-24 years old,Chinese,Female,3m
"happy and hopeful that the job will interest her
",All day,65+ years old,Chinese,Female,3m
"About 1 month ago, I found a 'long-lost' friend who we both lost contact after NSF army days in 1998 when I stumbled upon a profile on social media - a very very nice & cool guy who is one of my 'man-crushes' then. It was such a wonderful feeling being able to re-connect with each other once again after about 23 years. So much to catch up on with our 'old' friendship.",I'm still feeling it,35-44 years old,Chinese,Male,3m
"My peranakan neighbour made prawn keropok and Thai salad for me .
She is really a good cook and shares her food with us often.",I'm still feeling it,65+ years old,Chinese,Female,3m
Another happy moment in the past 3 months was when i ORDed from NS,All day,18-24 years old,Chinese,Male,3m
I bought what My wife loves so much ,I'm still feeling it,35-44 years old,Malay,Male,3m
The day I read a news about the availability of covid19 vaccines was one day in my life that was fill with joy.,I'm still feeling it,35-44 years old,Chinese,Male,3m
The day I gave birth to my last child!,All day,35-44 years old,Chinese,Female,3m
"Another moment is the easing of lockdown, at least people will find a way to make a living easily unlike during the lockdown ",I'm still feeling it,35-44 years old,Malay,Male,3m
my sister worked from work. Because usually she spend most of her time outside and i really want to bond with her more as sister. ,I'm still feeling it,25-34 years old,Chinese,Female,3m
I drank coffee with my family ,At least one hour,55-64 years old,Chinese,Male,3m
When I move in into my new house,All day,35-44 years old,Malay,Male,3m
My second moment was when i was vising my friend. It has been months since i last met her. ,Half a day,18-24 years old,Indian,Female,3m
Not at all,A few minutes,55-64 years old,Chinese,Female,3m
I received my diploma certificate ,All day,35-44 years old,Chinese,Male,3m
no such thing,Other:,18-24 years old,Chinese,Female,3m
win money in investment,Half a day,25-34 years old,Chinese,Male,3m
Another happy moment in the past 3 months was spending time with the person I am interested in. We hung out at his place and watched funny videos and had light-hearted conversations. ,I'm still feeling it,18-24 years old,Chinese,Female,3m
another happy moment was a few day ago went i spent some quality time with my mother over a hotpot buffet to celebrate mother's day.,At least one hour,25-34 years old,Chinese,Male,3m
Skin is getting better. ,All day,25-34 years old,Chinese,Female,3m
another happy moment was when i brought my first pet,All day,35-44 years old,Chinese,Male,3m
I get a promotion,I'm still feeling it,25-34 years old,Malay,Male,3m
Another happy moment in the past 3 months was when I received an unexpected promotion for my job.,I'm still feeling it,25-34 years old,Chinese,Female,3m
When I got an admission to continue with my Master program. ,I'm still feeling it,25-34 years old,Malay,Male,3m
Have a good intercourse with spouse.,At least one hour,25-34 years old,Chinese,Male,3m
I taught someone and their grades improved greatly.,Half a day,18-24 years old,Chinese,Prefer not to say,3m
When I was praised by someone I like,I'm still feeling it,35-44 years old,Chinese,Female,3m
I spent a day with my friends. We decided to learn how to play mahjong together. Those who knew how to play were very patient with us and I have gained a valuable skill in a sport that I was never interested in.,All day,18-24 years old,Chinese,Female,3m
Baking with my sister,At least one hour,18-24 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when my outlet managed to hit incentive and the boss decided to treat us to hotpot. ,All day,18-24 years old,Chinese,Female,3m
Reduce worries and stress at unexpected situations,Half a day,25-34 years old,Chinese,Male,3m
when people come and visit,A few minutes,25-34 years old,Chinese,Male,3m
Another happy moment in the past 3 months was when I got to experience flying a kite. It was the first time I flew a kite and it was successful and fun!,Half a day,18-24 years old,Chinese,Female,3m
Earn money,All day,35-44 years old,Chinese,Male,3m
when i get a girlfriend online ,All day,18-24 years old,Chinese,Male,3m
When ie got a pay raise and for recognize for my efforts ,Half a day,25-34 years old,Chinese,Female,3m
"When my husband told me to quit my stressful job, I'm happy he's so supportive and doesn't judge ",I'm still feeling it,35-44 years old,Chinese,Female,3m
Ability to convince others to go for the jab.,I'm still feeling it,65+ years old,Chinese,Female,3m
I don't know what you are asking,Half a day,35-44 years old,Chinese,Female,3m
I had my first child,All day,35-44 years old,Malay,Male,3m
Public holidays ,Half a day,25-34 years old,Chinese,Female,3m
When I completed my task,All day,35-44 years old,Chinese,Male,3m
my finances showed some recovery ,All day,65+ years old,Chinese,Male,3m
The time i going out withmy friends,All day,25-34 years old,Chinese,Female,3m
Getting to indulge in my desires ,I'm still feeling it,25-34 years old,Chinese,Male,3m
When the club I fans won in the semi final to qualify for the finals,All day,35-44 years old,Chinese,Male,3m
"Another happy moment in the past 3 months was when my brother's wife gave birth to a baby boy, it was an amazing experience, i was really happy for him. ",I'm still feeling it,25-34 years old,Chinese,Male,3m
Accomplished house chores though I feel a bit tired/,All day,65+ years old,Other:,Male,3m
I won a small prize at the lottery.,At least one hour,35-44 years old,Chinese,Male,3m
Salary increased,All day,25-34 years old,Malay,Female,3m
Watching my younger daughter growth development. She keep me smiling.,I'm still feeling it,25-34 years old,Malay,Female,3m
Ive been spending way too much time with my siblings and it just makes me happy. Like we are reaching the point of (or are there already) adulthood and finding time to do things together are getting more impossible and yet we have been spending time together and it feels great,All day,18-24 years old,Other:,Female,3m
"I reconciled with my dad, after 10 years of misunderstanding.",I'm still feeling it,35-44 years old,Chinese,Female,3m
when my older brother get married,All day,25-34 years old,Chinese,Female,3m
I got to meet my friends again after being isolated for a month.,Half a day,18-24 years old,Chinese,Female,3m
Recognition given by a director ,All day,25-34 years old,Malay,Female,3m
It was when I was with family ,All day,25-34 years old,Malay,Male,3m
meet very old friend ,I'm still feeling it,35-44 years old,Indian,Male,3m
I got my pay from my part time job as it has been very long since I worked and got paid.,Half a day,18-24 years old,Chinese,Female,3m
I went to the beach for a photoshoot with my colleagues last week.,Half a day,18-24 years old,Chinese,Female,3m
my client liked my proposal.,Half a day,18-24 years old,Chinese,Female,3m
baby birth,All day,25-34 years old,Indian,Male,3m
Managed to return back a guys wallet which consist of thousands of US dollars..and i have been rewarded quite a sum of money by the owner.,I'm still feeling it,35-44 years old,Malay,Male,3m
My family came home safe to me.,All day,35-44 years old,Chinese,Male,3m
"I got some time off from work to explore Singapore and visit new places. It helped relieve stresses, especially from work.",Half a day,18-24 years old,Malay,Male,3m
Another happy moment in the past 3 months was when i completed my work effectively,All day,25-34 years old,Chinese,Male,3m
another happy moment in the past 3 months was when one of my best friends gave birth to her baby boy ,I'm still feeling it,25-34 years old,Chinese,Female,3m
I saw that I had made significant gains on my investment.,A few minutes,25-34 years old,Chinese,Male,3m
Engoy from family,A few minutes,25-34 years old,Other:,Male,3m
I was able to splurge money on myswelf,At least one hour,18-24 years old,Chinese,Male,3m
Just completed my first home construction ,I'm still feeling it,18-24 years old,Malay,Male,3m
i passed my exams,At least one hour,25-34 years old,Chinese,Male,3m
Get good experience.,All day,35-44 years old,Chinese,Male,3m
I won a trade,Half a day,18-24 years old,Chinese,Male,3m
Finished reading a book,A few minutes,35-44 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when my friend texted me when we didnt talk for weeks.,At least one hour,25-34 years old,Chinese,Female,3m
I feel happy when u see the smile on my mother face caused by me,I'm still feeling it,35-44 years old,Malay,Female,3m
It was when I was presented with a promotion at work.,I'm still feeling it,25-34 years old,Malay,Male,3m
my friend treat me a meal,Half a day,25-34 years old,Chinese,Male,3m
hanging out with friends,At least one hour,25-34 years old,Chinese,Female,3m
Good health and safety,I'm still feeling it,25-34 years old,Chinese,Male,3m
When I complete my Covid 19 vaccination and feels well. ,All day,65+ years old,Chinese,Male,3m
another happy moment was when i clinched an offer from my dream university,I'm still feeling it,25-34 years old,Chinese,Male,3m
I have completed my 2 doses of Covid-19 vaccination.,At least one hour,65+ years old,Chinese,Male,3m
Theres always a week in a month that i will feel frustrated and irritated,All day,18-24 years old,Malay,Female,3m
Another happy moment in the past 3 months was when I got a card any deletable food on the Monday's day.,All day,35-44 years old,Chinese,Male,3m
First child,All day,35-44 years old,Indian,Female,3m
can move freely,All day,35-44 years old,Chinese,Female,3m
when i successfully applied for leave for a long weekend ,At least one hour,35-44 years old,Chinese,Male,3m
"I was caught in a drizzling rain while waiting for traffic. 
A kind old lady offered me to share her umbrella while I was waiting for the light to turn green. 
I'm very thankful for such gesture and feel there is kind humanity",At least one hour,35-44 years old,Chinese,Female,3m
I went out with my friends to have a good meal ,At least one hour,18-24 years old,Chinese,Female,3m
"Another time I had a happy moment in the last three month, was when I started doing well in a game I thought I wouldn't do well in.",All day,18-24 years old,Chinese,Male,3m
another moment was when i met my current partner at the most unexpected timing which brought great joy into my life. ,I'm still feeling it,18-24 years old,Chinese,Female,3m
Another happy moment was when my weight dropped a lot (the lowest I have ever seen).,All day,18-24 years old,Chinese,Female,3m
,,,,,3m
My group of friends successfully managed to surprise another friend.,Half a day,18-24 years old,Chinese,Female,3m
Got to get a new smartwatch,Half a day,18-24 years old,Chinese,Female,3m
Happy that I have received my vaccinations.,A few minutes,55-64 years old,Chinese,Female,3m
My elder son decides to put his heart to study well,I'm still feeling it,55-64 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when I got complimented for my command of Korean in an online class.,A few minutes,25-34 years old,Chinese,Female,3m
Nothing to feel,A few minutes,25-34 years old,Chinese,Female,3m
win 4d lottery,All day,35-44 years old,Chinese,Female,3m
I found job.,At least one hour,35-44 years old,Chinese,Female,3m
I am strong healthy daily,I'm still feeling it,45-54 years old,Chinese,Male,3m
last 3 month i had recieve some performance incentive and feel happy ,At least one hour,55-64 years old,Chinese,Male,3m
"Another moment was when I finally decided which sales company I am joining. I am joining insurance & I have been buying insurance since 17 (I have 8 policies now), and I really love insurance as a financial instrument. I spent very long to interview the various bosses as well, and I believe that I have found the one I wanna join. ",I'm still feeling it,18-24 years old,Chinese,Female,3m
I went with my husband for a staycation and explored Arab street which gave a nostalgic feeling.,All day,45-54 years old,Indian,Female,3m
"Every night before our child sleeps, we will have some fun. My child will demand some songs and enact according to the song such as Humpty Dumpty Sat on a Wall. We will also play tickle and wrestle, so much fun every night (almost)! ",At least one hour,25-34 years old,Chinese,Female,3m
another happy moment was when my online shopping arrived,At least one hour,25-34 years old,Chinese,Male,3m
"it is totally impossible for me to pay off the loan whereby my salary are quite limited. my mum limb note expand , i am thankful that i got my sister to send her to the right doctor.",I'm still feeling it,55-64 years old,Chinese,Female,3m
Happy moment when everyone ask me fo take photograph with them,All day,65+ years old,Chinese,Female,3m
"Second moment: ""Another happy moment in the past 3 months was when the person I like held my hands to comfort me when I was feeling depressed.""",A few minutes,18-24 years old,Chinese,Male,3m
Second moment is when I went out with my friends to Sentosa and had fun for almost the whole day :D.,Half a day,18-24 years old,Indian,Male,3m
Enjoy a piece of cake,A few minutes,45-54 years old,Chinese,Female,3m
Able to complete a work assignment very much earlier than scheduled and was praised my immediate superior.,A few minutes,55-64 years old,Chinese,Male,3m
My daughter achieved a Merit in her Diploma studies. ,All day,55-64 years old,Chinese,Female,3m
Connecting with friends and discussing current affairs ,At least one hour,65+ years old,Chinese,Male,3m
When i received money for my birthday and could afford a new pair of shoes after 3 years,I'm still feeling it,45-54 years old,Chinese,Female,3m
Giving donation,All day,35-44 years old,Indian,Female,3m
Nothing Special,A few minutes,55-64 years old,Chinese,Male,3m
i could stay at home and rest and play with my dogs,All day,25-34 years old,Chinese,Female,3m
I went hiking with my friend,All day,25-34 years old,Chinese,Female,3m
I got good deals for my grocery routine.,A few minutes,45-54 years old,Chinese,Female,3m
turn to phase-3 at covid-19 time...,A few minutes,65+ years old,Chinese,Male,3m
No happy memories ,Other:,35-44 years old,Malay,Female,3m
Helping my sister marketing for her weekly needs during this Covid situation,I'm still feeling it,65+ years old,Chinese,Male,3m
when i get a lot of extra income,All day,25-34 years old,Chinese,Female,3m
I purchased a tv for my parents ,All day,35-44 years old,Indian,Female,3m
I cooked my first meal,Half a day,65+ years old,Indian,Male,3m
When my parents contacted me for a family celebration.,Half a day,45-54 years old,Chinese,Male,3m
My second Happy moment has to be when I got salary increase from my place of work. ,I'm still feeling it,35-44 years old,Chinese,Female,3m
Another happy moment was when the rescued dog which I had adopted 6 months ago was beginning to trust & love me and always want to stick by my side,I'm still feeling it,55-64 years old,Chinese,Female,3m
I dont think I had another happy moment.,A few minutes,45-54 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when we were having lunch together as one big family.,All day,25-34 years old,Malay,Female,3m
Spent time with family ,All day,25-34 years old,Chinese,Female,3m
i hit small target in my own company,Half a day,25-34 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when we came together as a family to celebrate our father's birthday.,All day,25-34 years old,Malay,Female,3m
Mother day's celebration,At least one hour,35-44 years old,Chinese,Female,3m
I manage to work from home.,All day,25-34 years old,Chinese,Male,3m
meeting my friends,At least one hour,35-44 years old,Chinese,Female,3m
the fistula good in order,All day,45-54 years old,Chinese,Male,3m
I realised there are at least 3 public holidays this month,A few minutes,45-54 years old,Chinese,Female,3m
Another happy moment in the past 3 months was when my girl start her school life.,I'm still feeling it,25-34 years old,Chinese,Female,3m
Another happy moment in the past 3 months was meeting my friends and getting to catch up with life ,All day,25-34 years old,Chinese,Female,3m
the australian breeder says that the puppy that i wanted should be coming in july/aug ,Half a day,35-44 years old,Chinese,Female,3m
2. earning a lucky draw,A few minutes,35-44 years old,Chinese,Female,3m
Another happy moment in the past 3 month is one of the ex-colleague who has lost contact for more than 15 years has reappear and continue to keep in contact,I'm still feeling it,65+ years old,Chinese,Male,3m
"fellow citizen assisting one another for the old, young regardless of race.",I'm still feeling it,65+ years old,Chinese,Male,3m
Helping a beneficiary,At least one hour,65+ years old,Chinese,Male,3m
Being able to catch up with my friends at the park,Half a day,65+ years old,Chinese,Female,3m
Second event was cooking a plate of egg fried rice after watching a clip from youtube. The result was good.  ,All day,65+ years old,Chinese,Female,3m
Another happy moment in the past 3 months was when i bought new clothes for  myself and went to a korean restaurant to eat.,At least one hour,65+ years old,Chinese,Female,3m
Dinner with daughters,At least one hour,65+ years old,Chinese,Male,3m
Another happy moment in the past 3 months was when I met one of my friends at the market and we caught up.,A few minutes,65+ years old,Chinese,Female,3m
another happy moment was when somebody gave me a surprise and i didn't expect it to be from that person,At least one hour,65+ years old,Chinese,Female,3m
